SOURCE_NAME,RA_(J2000),DEC_(J2000),JD_OBS,JD_ERROR,YEAR_OBS,TOTAL_FLUX,ERROR_TOTFLUX,PEAK_FLUX,ERROR_PEAKFLUX,DIAMETER,ERROR_DIAMETER,FREQ_OBS,PAPER,RESOLUTION,OBSERVATION_NOTE
45.88+69.7,09 55 54.60,69 40 55.75,2453432.5,0.5,2005,1.08,0.14,0.57,0.07,405x183,,1.67,FENECH_2010,50mas,
45.89+63.9,09 55 54.60,69 40 49.98,2453432.5,0.5,2005,2.37,0.01,2.12,0.01,118x30,,1.67,FENECH_2010,50mas,
46.52+63.9,09 55 55.22,69 40 50.01,2453432.5,0.5,2005,2.6,0.09,2,0.05,172x139,,1.67,FENECH_2010,50mas,
46.56+73.8,09 55 55.26,69 40 59.91,2453432.5,0.5,2005,1.4,0.12,1.26,0.07,135x47,,1.67,FENECH_2010,50mas,
46.70+67.1,09 55 55.41,69 40 53.41,2453432.5,0.5,2005,2.18,0.14,1.22,0.06,260,,1.67,FENECH_2010,50mas,
SN2008iz,09 55 51.55,69 40 45.8,2454948.5,0.5,2009,55.3,6,55.3,6,,,1.43,BRUNTHALER_2010,0.5mas,
SN2008iz,09 55 51.55,69 40 45.8,2454948.5,0.5,2009,29.5,4.5,29.5,4.5,,,4.8,BRUNTHALER_2010,0.5mas,
SN2008iz,09 55 51.55,69 40 45.8,2454948.5,0.5,2009,13.7,2.5,13.7,2.5,,,8.4,BRUNTHALER_2010,0.5mas,
SN2008iz,09 55 51.55,69 40 45.8,2454948.5,0.5,2009,6.2,0.7,6.2,0.7,,,22,BRUNTHALER_2010,0.5mas,
SN2008iz,09 55 51.55,69 40 45.8,2454948.5,0.5,2009,2.5,0.4,2.5,0.4,,,42,BRUNTHALER_2010,0.5mas,
44.01+59.6,09 55 52.73,69 40 45.78,2454948.5,0.5,2009,14.7,5.3,14.7,5.3,,,4.8,BRUNTHALER_2010,0.5mas,
44.01+59.6,09 55 52.73,69 40 45.78,2454948.5,0.5,2009,15,2,15,2,,,8.4,BRUNTHALER_2010,0.5mas,
44.01+59.6,09 55 52.73,69 40 45.78,2454948.5,0.5,2009,8.7,0.6,8.7,0.6,,,22,BRUNTHALER_2010,0.5mas,
44.01+59.6,09 55 52.73,69 40 45.78,2454948.5,0.5,2009,3.6,0.4,3.6,0.4,,,43,BRUNTHALER_2010,0.5mas,
45.17+61.2,09 55 53.88,69 40 47.43,2454948.5,0.5,2009,8.5,1.6,8.5,1.6,,,4.8,BRUNTHALER_2010,0.5mas,
45.17+61.2,09 55 53.88,69 40 47.43,2454948.5,0.5,2009,5.8,0.7,5.8,0.7,,,8.4,BRUNTHALER_2010,0.5mas,
45.17+61.2,09 55 53.88,69 40 47.43,2454948.5,0.5,2009,3,0.9,3,0.9,,,22,BRUNTHALER_2010,0.5mas,
45.17+61.2,09 55 53.88,69 40 47.43,2454948.5,0.5,2009,0.8,0.3,0.8,0.3,,,43,BRUNTHALER_2010,0.5mas,
SN2008iz,09 55 51.55,69 40 45.8,2455108.5,0.5,2009,64,6,57.9,0.5,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455169.5,0.5,2009,55,4,50.9,0.4,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455233.5,0.5,2010,42,8,34.6,0.2,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455275.5,0.5,2010,,,,,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455320.5,0.5,2010,39,9,30.8,0.2,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455345.5,0.5,2010,,,,,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455354.5,0.5,2010,32,8,24.9,0.1,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455379.5,0.5,2010,35,8,26.5,0.2,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455325.5,0.5,2010,30,9,20.8,0.1,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455519.5,0.5,2010,30,9,21.5,0.1,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455568.5,0.5,2011,27,9,17.6,0.1,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455638.5,0.5,2011,26,9,17.1,0.1,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455693.5,0.5,2011,26,9,17.3,0.2,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455784.5,0.5,2011,25,10,15.2,0.1,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455784.5,0.5,2011,24,9,15.3,0.1,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455827.5,0.5,2011,25,2,12.6,0.1,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455827.5,0.5,2011,21,9,12,0.1,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455914.5,0.5,2011,28,9,18.7,0.2,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2456164.5,0.5,2012,39,9,30.3,0.3,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2456320.5,0.5,2013,40,9,21.2,0.1,,,1.67,KIMANI_2016,4.3mas,
SN2008iz,09 55 51.55,69 40 45.8,2455108.5,0.5,2009,,,3.02,0.04,1.8,0.2,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455169.5,0.5,2009,,,2.61,0.03,1.9,0.2,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455233.5,0.5,2010,,,2.09,0.03,2,0.2,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455275.5,0.5,2010,,,1.8,0.03,2.3,0.2,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455320.5,0.5,2010,,,1.79,0.03,2.3,0.2,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455345.5,0.5,2010,,,1.71,0.03,2.4,0.2,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455354.5,0.5,2010,,,,,,,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455379.5,0.5,2010,,,4.56,0.05,,,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455325.5,0.5,2010,,,3.73,0.04,2.5,0.2,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455519.5,0.5,2010,,,1.73,0.03,2.8,0.2,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455568.5,0.5,2011,,,1.15,0.03,2.9,0.3,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455638.5,0.5,2011,,,0.98,0.03,3,0.3,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455693.5,0.5,2011,,,0.76,0.03,3.1,0.3,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455784.5,0.5,2011,,,1.55,0.05,,,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455784.5,0.5,2011,,,3.78,0.04,,,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455827.5,0.5,2011,,,0.91,0.03,3.4,0.3,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455827.5,0.5,2011,,,3.17,0.07,,,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455914.5,0.5,2011,,,0.75,0.03,3.7,0.6,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2456164.5,0.5,2012,,,2.43,0.05,4.3,0.4,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2456320.5,0.5,2013,,,1.65,0.01,8,0.4,4.8,KIMANI_2016,1.2mas,
SN2008iz,09 55 51.55,69 40 45.8,2455108.5,0.5,2009,,,0.83,0.04,1.7,0.2,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455169.5,0.5,2009,,,0.78,0.03,1.8,0.1,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455233.5,0.5,2010,,,0.59,0.03,2,0.1,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455275.5,0.5,2010,,,,,,,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455320.5,0.5,2010,,,0.58,0.03,2.2,0.1,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455345.5,0.5,2010,,,,,,,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455354.5,0.5,2010,,,,,,,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455379.5,0.5,2010,,,1.34,0.05,2.4,0.2,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455325.5,0.5,2010,,,0.56,0.03,2.5,0.2,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455519.5,0.5,2010,,,0.41,0.03,2.8,0.2,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455568.5,0.5,2011,,,1.02,0.05,2.8,0.2,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455638.5,0.5,2011,,,0.41,0.03,3,0.2,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455693.5,0.5,2011,,,0.33,0.02,3,0.2,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455784.5,0.5,2011,,,0.57,0.04,3.2,0.2,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455784.5,0.5,2011,,,1.18,0.04,,,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455827.5,0.5,2011,,,0.29,0.03,3.3,0.2,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455827.5,0.5,2011,,,0.9,0.03,3.3,0.2,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2455914.5,0.5,2011,,,0.35,0.03,3.7,0.3,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2456164.5,0.5,2012,,,0.73,0.03,4.5,0.2,8.4,KIMANI_2016,0.8mas,
SN2008iz,09 55 51.55,69 40 45.8,2456320.5,0.5,2013,,,0.69,0.01,4.9,0.2,8.4,KIMANI_2016,0.8mas,
39.10+57.3,09 55 47.87,69 40 43.7,2455123.01,170,2009,4.5,0.65,0.51,0.01,,,5,GENDRE_2013,50mas,
39.28+54.1,09 55 48.05,69 40 40.6,2455123.01,170,2009,0.23,0.05,0.22,0.01,,,5,GENDRE_2013,50mas,
39.40+56.2,09 55 48.15,69 40 42.5,2455123.01,170,2009,1.13,0.29,0.22,0.01,,,5,GENDRE_2013,50mas,
39.64+53.3,09 55 48.41,69 40 39.7,2455123.01,170,2009,0.32,0.09,0.16,0.01,,,5,GENDRE_2013,50mas,
39.67+55.5,09 55 48.43,69 40 41.9,2455123.01,170,2009,1.22,0.22,0.34,0.01,,,5,GENDRE_2013,50mas,
39.77+56.9,09 55 48.55,69 40 43.3,2455123.01,170,2009,0.36,0.1,0.15,0.01,,,5,GENDRE_2013,50mas,
40.32+55.2,09 55 49.07,69 40 41.5,2455123.01,170,2009,1.35,0.27,0.27,0.01,,,5,GENDRE_2013,50mas,
40.61+56.3,09 55 49.33,69 40 42.3,2455123.01,170,2009,1.27,0.33,0.18,0.01,,,5,GENDRE_2013,50mas,
40.68+55.1,09 55 49.42 ,69 40 41.4,2455123.01,170,2009,7.19,0.9,0.5,0.01,,,5,GENDRE_2013,50mas,
40.94+58.8,09 55 49.69,69 40 45.2,2455123.01,170,2009,0.73,0.17,0.25,0.01,,,5,GENDRE_2013,50mas,
41.18+56.2,09 55 49.92,69 40 42.5,2455123.01,170,2009,1.76,0.44,0.23,0.01,,,5,GENDRE_2013,50mas,
41.30+59.6,09 55 50.04,69 40 45.9,2455123.01,170,2009,2.54,0.29,0.61,0.01,,,5,GENDRE_2013,50mas,
41.64+57.9,09 55 50.38,69 40 44.2,2455123.01,170,2009,1.02,0.22,0.22,0.01,,,5,GENDRE_2013,50mas,
41.95+57.5,09 55 50.68,69 40 43.8,2455123.01,170,2009,14.17,0.19,11.92,0.01,,,5,GENDRE_2013,50mas,
42.08+58.4,09 55 50.82,69 40 44.7,2455123.01,170,2009,0.34,0.09,0.15,0.01,,,5,GENDRE_2013,50mas,
42.20+59.1,09 55 50.94,69 40 45.3,2455123.01,170,2009,0.99,0.19,0.32,0.01,,,5,GENDRE_2013,50mas,
42.43+59.5,09 55 51.15,69 40 45.6,2455123.01,170,2009,0.38,0.15,0.16,0.01,,,5,GENDRE_2013,50mas,
42.48+58.4,09 55 51.25,69 40 44.2,2455123.01,170,2009,1.37,0.37,0.31,0.01,,,5,GENDRE_2013,50mas,
42.61+60.7,09 55 51.35,69 40 46.9,2455123.01,170,2009,0.67,0.16,0.19,0.01,,,5,GENDRE_2013,50mas,
42.67+55.6,09 55 51.37,69 40 41.8,2455123.01,170,2009,0.81,0.19,0.2,0.01,,,5,GENDRE_2013,50mas,
42.67+56.3,09 55 51.40,69 40 42.6,2455123.01,170,2009,0.53,0.13,0.24,0.01,,,5,GENDRE_2013,50mas,
42.69+58.2,09 55 51.44,69 40 44.3,2455123.01,170,2009,0.21,0.06,0.15,0.01,,,5,GENDRE_2013,50mas,
42.80+61.2,09 55 51.54,69 40 47.5,2455123.01,170,2009,0.55,0.11,0.23,0.01,,,5,GENDRE_2013,50mas,
42.81+59.6 (SN2008iz),09 55 51.55,69 40 45.8,2455123.01,170,2009,33.57,0.17,31.6,0.01,,,5,GENDRE_2013,50mas,
43.18+58.2,09 55 51.90,69 40 44.6,2455123.01,170,2009,4.79,0.33,1.24,0.01,,,5,GENDRE_2013,50mas,
43.31+59.2,09 55 52.03,69 40 45.4,2455123.01,170,2009,12.52,0.22,6.6,0.01,,,5,GENDRE_2013,50mas,
43.40+62.6,09 55 52.14,69 40 48.7,2455123.01,170,2009,0.61,0.16,0.18,0.01,,,5,GENDRE_2013,50mas,
43.72+62.6,09 55 52.43,69 40 48.8,2455123.01,170,2009,0.42,0.09,0.25,0.01,,,5,GENDRE_2013,50mas,
43.78.59.3,09 55 52.51,69 40 45.4,2455123.01,170,2009,0.9,0.09,0.8,0.01,,,5,GENDRE_2013,50mas,
43.82+62.8,09 55 52.54,69 40 49.0,2455123.01,170,2009,0.33,0.09,1.6,0.01,,,5,GENDRE_2013,50mas,
44.01+59.6,09 55 52.72,69 40 45.8,2455123.01,170,2009,25.88,0.25,13.07,0.01,,,5,GENDRE_2013,50mas,
44.08+63.1,09 55 52.75,69 40 49.5,2455123.01,170,2009,0.15,0.06,0.12,0.01,,,5,GENDRE_2013,50mas,
44.28+59.3,09 55 52.99,69 40 45.5,2455123.01,170,2009,1.72,0.32,0.34,0.01,,,5,GENDRE_2013,50mas,
44.28+61.1,09 55 53.00,69 40 47.4,2455123.01,170,2009,0.4,0.11,0.17,0.01,,,5,GENDRE_2013,50mas,
44.34+57.8,09 55 53.05,69 40 43.9,2455123.01,170,2009,0.98,0.23,0.21,0.01,,,5,GENDRE_2013,50mas,
44.40+61.8,09 55 52.13,69 40 47.9,2455123.01,170,2009,1.19,0.25,0.25,0.01,,,5,GENDRE_2013,50mas,
44.51+58.2,09 55 53.23,69 40 44.3,2455123.01,170,2009,2.38,0.54,0.25,0.01,,,5,GENDRE_2013,50mas,
44.89+61.2,09 55 53.61,69 40 47.3,2455123.01,170,2009,1.16,0.21,0.31,0.01,,,5,GENDRE_2013,50mas,
44.93+64.0,09 55 53.64,69 40 50.5,2455123.01,170,2009,0.39,0.1,0.19,0.01,,,5,GENDRE_2013,50mas,
45.17+61.2,09 55 53.88,69 40 47.4,2455123.01,170,2009,8.72,0.44,3.11,0.01,,,5,GENDRE_2013,50mas,
45.24+65.2,09 55 53.96,69 40 51.4,2455123.01,170,2009,1.15,0.26,0.21,0.01,,,5,GENDRE_2013,50mas,
45.39+60.3,09 55 54.12,69 40 46.4,2455123.01,170,2009,1,0.26,0.17,0.01,,,5,GENDRE_2013,50mas,
45.42+67.4,09 55 54.13,69 40 53.5,2455123.01,170,2009,2.56,0.55,0.28,0.01,,,5,GENDRE_2013,50mas,
45.52+64.7,09 55 54.22,69 40 50.9,2455123.01,170,2009,0.12,0.05,0.09,0.01,,,5,GENDRE_2013,50mas,
45.62+67.0,09 55 54.32,69 40 53.1,2455123.01,170,2009,1.54,0.37,0.24,0.01,,,5,GENDRE_2013,50mas,
45.75+65.3,09 55 54.46,69 40 51.5,2455123.01,170,2009,2.24,0.54,0.2,0.01,,,5,GENDRE_2013,50mas,
45.79+64.0,09 55 54.50,69 40 50.2,2455123.01,170,2009,0.49,0.11,0.21,0.01,,,5,GENDRE_2013,50mas,
45.89+63.8,09 55 54.60,69 40 50.0,2455123.01,170,2009,1.6,0.2,0.58,0.01,,,5,GENDRE_2013,50mas,
46.17+67.6,09 55 54.89,69 40 53.8,2455123.01,170,2009,2.35,0.57,0.24,0.01,,,5,GENDRE_2013,50mas,
46.34+66.2,09 55 55.06,69 40 52.5,2455123.01,170,2009,0.67,0.17,0.18,0.01,,,5,GENDRE_2013,50mas,
46.52+63.9,09 55 55.20,69 40 50.0,2455123.01,170,2009,2.68,0.47,0.42,0.01,,,5,GENDRE_2013,50mas,
46.70+67.1,09 55 55.38,69 40 53.2,2455123.01,170,2009,2.29,0.54,0.22,0.01,,,5,GENDRE_2013,50mas,
39.10+57.3,09 55 47.88,69 40 43.72,2445083.5,1.825,1982.31,4.76,0.49,4.76,0.49,,,5,KRONBERG_2000,0''.35 ,
39.3+54.2,09 55 48.05,69 40 40.56,2445083.5,1.825,1982.31,1.95,0.62,1.95,0.62,,,5,KRONBERG_2000,0''.35 ,
39.4+56.1,09 55 48.17,69 40 42.41,2445083.5,1.825,1982.31,2.46,0.51,2.46,0.51,,,5,KRONBERG_2000,0''.35 ,
39.7+55.6,09 55 48.43,69 40 41.88,2445083.5,1.825,1982.31,1.87,0.48,1.87,0.48,,,5,KRONBERG_2000,0''.35 ,
40.7+55.0,09 55 49.42,69 40 41.42,2445083.5,1.825,1982.31,7.32,0.48,7.32,0.48,,,5,KRONBERG_2000,0''.35 ,
41.3+59.6,09 55 50.07,69 40 45.83,2445083.5,1.825,1982.31,3.22,0.45,3.22,0.45,,,5,KRONBERG_2000,0''.35 ,
41.5+59.7,09 55 50.2,69 40 45.93,2445083.5,1.825,1982.31,0.31,0.3,0.31,0.3,,,5,KRONBERG_2000,0''.35 ,
41.95+57.5,09 55 50.69,69 40 43.76,2445083.5,1.825,1982.31,97.85,0.5,97.85,0.5,,,5,KRONBERG_2000,0''.35 ,
42.2+59.0,09 55 50.95,69 40 45.2,2445083.5,1.825,1982.31,2.53,0.59,2.53,0.59,,,5,KRONBERG_2000,0''.35 ,
42.7+55.6,09 55 51.37,69 40 41.78,2445083.5,1.825,1982.31,1.97,0.49,1.97,0.49,,,5,KRONBERG_2000,0''.35 ,
43.2+58.3,09 55 51.91,69 40 44.58,2445083.5,1.825,1982.31,4.35,0.44,4.35,0.44,,,5,KRONBERG_2000,0''.35 ,
43.3+59.2,09 55 52.03,69 40 45.42,2445083.5,1.825,1982.31,10.86,0.49,10.86,0.49,,,5,KRONBERG_2000,0''.35 ,
44.0+59.5,09 55 52.72,69 40 45.77,2445083.5,1.825,1982.31,23.52,0.46,23.52,0.46,,,5,KRONBERG_2000,0''.35 ,
44.3+59.2,09 55 52.99,69 40 45.53,2445083.5,1.825,1982.31,2,0.47,2,0.47,,,5,KRONBERG_2000,0''.35 ,
44.5+58.1,09 55 53.22,69 40 44.36,2445083.5,1.825,1982.31,3.28,0.49,3.28,0.49,,,5,KRONBERG_2000,0''.35 ,
44.9+61.1,09 55 53.62,69 40 47.29,2445083.5,1.825,1982.31,1.21,0.46,1.21,0.46,,,5,KRONBERG_2000,0''.35 ,
45.2+61.2,09 55 53.88,69 40 47.41,2445083.5,1.825,1982.31,7.84,0.47,7.84,0.47,,,5,KRONBERG_2000,0''.35 ,
45.3+65.1,09 55 53.96,69 40 51.36,2445083.5,1.825,1982.31,0.8,0.37,0.8,0.37,,,5,KRONBERG_2000,0''.35 ,
45.7+65.2,09 55 54.44,69 40 51.43,2445083.5,1.825,1982.31,2.94,0.52,2.94,0.52,,,5,KRONBERG_2000,0''.35 ,
45.9+63.8,09 55 54.60,69 40 49.98,2445083.5,1.825,1982.31,2.11,0.46,2.11,0.46,,,5,KRONBERG_2000,0''.35 ,
46.5+63.8,09 55 55.21,69 40 50.05,2445083.5,1.825,1982.31,2.75,0.48,2.75,0.48,,,5,KRONBERG_2000,0''.35 ,
46.7+67.0,09 55 55.41,69 40 53.03,2445083.5,1.825,1982.31,2.13,0.51,2.13,0.51,,,5,KRONBERG_2000,0''.35 ,
39.10+57.3,09 55 47.88,69 40 43.72,2445107.5,1.825,1982.38,4.65,0.61,4.65,0.61,,,5,KRONBERG_2000,0''.35 ,
39.3+54.2,09 55 48.05,69 40 40.56,2445107.5,1.825,1982.38,1.5,0.74,1.5,0.74,,,5,KRONBERG_2000,0''.35 ,
39.4+56.1,09 55 48.17,69 40 42.41,2445107.5,1.825,1982.38,2.02,0.59,2.02,0.59,,,5,KRONBERG_2000,0''.35 ,
39.7+55.6,09 55 48.43,69 40 41.88,2445107.5,1.825,1982.38,1.45,0.63,1.45,0.63,,,5,KRONBERG_2000,0''.35 ,
40.6+56.0,09 55 49.35,69 40 42.36,2445107.5,1.825,1982.38,1.39,0.6,1.39,0.6,,,5,KRONBERG_2000,0''.35 ,
40.7+55.0,09 55 49.42,69 40 41.42,2445107.5,1.825,1982.38,7.37,0.59,7.37,0.59,,,5,KRONBERG_2000,0''.35 ,
41.3+59.6,09 55 50.07,69 40 45.83,2445107.5,1.825,1982.38,3.56,0.58,3.56,0.58,,,5,KRONBERG_2000,0''.35 ,
41.5+59.7,09 55 50.2,69 40 45.93,2445107.5,1.825,1982.38,0.38,0.48,0.38,0.48,,,5,KRONBERG_2000,0''.35 ,
41.95+57.5,09 55 50.69,69 40 43.76,2445107.5,1.825,1982.38,97.82,0.6,97.82,0.6,,,5,KRONBERG_2000,0''.35 ,
42.2+59.0,09 55 50.95,69 40 45.2,2445107.5,1.825,1982.38,2.35,0.66,2.35,0.66,,,5,KRONBERG_2000,0''.35 ,
42.7+55.6,09 55 51.37,69 40 41.78,2445107.5,1.825,1982.38,2.01,0.62,2.01,0.62,,,5,KRONBERG_2000,0''.35 ,
43.2+58.3,09 55 51.91,69 40 44.58,2445107.5,1.825,1982.38,4.02,0.56,4.02,0.56,,,5,KRONBERG_2000,0''.35 ,
43.3+59.2,09 55 52.03,69 40 45.42,2445107.5,1.825,1982.38,11.2,0.59,11.2,0.59,,,5,KRONBERG_2000,0''.35 ,
44.0+59.5,09 55 52.72,69 40 45.77,2445107.5,1.825,1982.38,22.27,0.57,22.27,0.57,,,5,KRONBERG_2000,0''.35 ,
44.3+59.2,09 55 52.99,69 40 45.53,2445107.5,1.825,1982.38,2.61,0.63,2.61,0.63,,,5,KRONBERG_2000,0''.35 ,
44.5+58.1,09 55 53.22,69 40 44.36,2445107.5,1.825,1982.38,2.23,0.59,2.23,0.59,,,5,KRONBERG_2000,0''.35 ,
44.9+61.1,09 55 53.62,69 40 47.29,2445107.5,1.825,1982.38,1.57,0.58,1.57,0.58,,,5,KRONBERG_2000,0''.35 ,
45.2+61.2,09 55 53.88,69 40 47.41,2445107.5,1.825,1982.38,7.65,0.58,7.65,0.58,,,5,KRONBERG_2000,0''.35 ,
45.3+65.1,09 55 53.96,69 40 51.36,2445107.5,1.825,1982.38,1.09,0.5,1.09,0.5,,,5,KRONBERG_2000,0''.35 ,
45.7+65.2,09 55 54.44,69 40 51.43,2445107.5,1.825,1982.38,3.84,0.69,3.84,0.69,,,5,KRONBERG_2000,0''.35 ,
45.9+63.8,09 55 54.60,69 40 49.98,2445107.5,1.825,1982.38,1.99,0.57,1.99,0.57,,,5,KRONBERG_2000,0''.35 ,
46.5+63.8,09 55 55.21,69 40 50.05,2445107.5,1.825,1982.38,2.77,0.57,2.77,0.57,,,5,KRONBERG_2000,0''.35 ,
46.7+67.0,09 55 55.41,69 40 53.03,2445107.5,1.825,1982.38,2.64,0.65,2.64,0.65,,,5,KRONBERG_2000,0''.35 ,
39.10+57.3,09 55 47.88,69 40 43.72,2445136.5,1.825,1982.46,4.78,0.51,4.78,0.51,,,5,KRONBERG_2000,0''.35 ,
39.3+54.2,09 55 48.05,69 40 40.56,2445136.5,1.825,1982.46,1.65,0.58,1.65,0.58,,,5,KRONBERG_2000,0''.35 ,
39.4+56.1,09 55 48.17,69 40 42.41,2445136.5,1.825,1982.46,2.24,0.6,2.24,0.6,,,5,KRONBERG_2000,0''.35 ,
39.7+55.6,09 55 48.43,69 40 41.88,2445136.5,1.825,1982.46,1.36,0.53,1.36,0.53,,,5,KRONBERG_2000,0''.35 ,
40.6+56.0,09 55 49.35,69 40 42.36,2445136.5,1.825,1982.46,0.77,0.47,0.77,0.47,,,5,KRONBERG_2000,0''.35 ,
40.7+55.0,09 55 49.42,69 40 41.42,2445136.5,1.825,1982.46,7.8,0.53,7.8,0.53,,,5,KRONBERG_2000,0''.35 ,
41.3+59.6,09 55 50.07,69 40 45.83,2445136.5,1.825,1982.46,3.15,0.48,3.15,0.48,,,5,KRONBERG_2000,0''.35 ,
41.5+59.7,09 55 50.2,69 40 45.93,2445136.5,1.825,1982.46,0.95,0.44,0.95,0.44,,,5,KRONBERG_2000,0''.35 ,
41.95+57.5,09 55 50.69,69 40 43.76,2445136.5,1.825,1982.46,99.08,0.5,99.08,0.5,,,5,KRONBERG_2000,0''.35 ,
42.2+59.0,09 55 50.95,69 40 45.2,2445136.5,1.825,1982.46,1.59,0.51,1.59,0.51,,,5,KRONBERG_2000,0''.35 ,
42.7+55.6,09 55 51.37,69 40 41.78,2445136.5,1.825,1982.46,1.89,0.53,1.89,0.53,,,5,KRONBERG_2000,0''.35 ,
43.2+58.3,09 55 51.91,69 40 44.58,2445136.5,1.825,1982.46,4.62,0.49,4.62,0.49,,,5,KRONBERG_2000,0''.35 ,
43.3+59.2,09 55 52.03,69 40 45.42,2445136.5,1.825,1982.46,11.76,0.52,11.76,0.52,,,5,KRONBERG_2000,0''.35 ,
44.0+59.5,09 55 52.72,69 40 45.77,2445136.5,1.825,1982.46,24.03,0.5,24.03,0.5,,,5,KRONBERG_2000,0''.35 ,
44.3+59.2,09 55 52.99,69 40 45.53,2445136.5,1.825,1982.46,2.83,0.6,2.83,0.6,,,5,KRONBERG_2000,0''.35 ,
